power_w,irradiance_wm2,module_temp_c
401.9,32.6,9.3
408.8,32.7,9.2
408.8,32.5,9.2
412.8,31.9,9.2
405.9,31.9,9.2
400.8,31.8,9.15
404.8,31.8,9.15
402.8,31.7,9.15
241.4,31.7,9.1
404.8,31.7,9.1
408.8,31.9,9.1
406.8,31.9,9.1
410.8,32.0,9.1
418.8,31.9,9.0
406.8,31.8,9.0
408.8,31.4,9.0
396.8,31.0,9.0
392.8,30.7,9.0
388.8,30.4,8.95
378.8,30.1,8.95
378.8,30.1,8.95
386.8,30.1,8.95
388.8,30.1,8.95
386.8,30.0,8.95
378.8,29.9,8.9
382.8,29.7,8.9
380.8,29.6,8.9
370.8,29.5,8.9
370.8,29.3,8.8
374.8,29.1,8.8
374.8,28.9,8.8
368.8,28.6,8.75
356.8,28.0,8.7
346.8,27.3,8.7
332.8,26.6,8.65
328.8,26.0,8.65
314.8,25.5,8.55
304.8,24.7,8.55
129.4,24.0,8.45
276.8,23.1,8.45
262.8,22.5,8.4
248.4,21.9,8.35
238.4,21.4,8.3
227.4,20.9,8.25
215.4,20.4,8.2
292.8,22.1,3.35
316.8,35.9,3.4
318.8,52.1,3.4
314.8,56.6,3.45
326.8,58.5,3.45
328.8,60.3,3.45
324.8,62.0,3.5
346.8,63.9,3.45
358.8,65.5,3.45
368.8,67.3,3.45
430.8,69.1,3.5
456.8,70.8,3.5
481.9,72.7,3.5
501.9,74.6,3.5
547.8,76.5,3.55
579.8,78.4,3.55
607.8,80.4,3.6
645.7,82.3,3.7
750.1,84.4,3.75
801.8,86.3,3.85
853.4,88.6,3.9
885.4,91.0,4.0
913.4,93.1,4.05
949.7,95.3,4.15
974.6,97.5,4.3
1045.2,99.8,4.45
1072.1,101.8,4.7
1112.1,103.8,4.85
1120.1,106.0,5.1
1156.1,108.0,5.3
1188.1,110.1,5.4
1222.1,112.2,5.55
1275.4,114.5,5.5
1315.4,116.7,5.5
1356.5,118.9,5.5
1383.1,121.1,5.55
1412.5,123.5,5.65
1448.7,125.8,5.95
1484.2,128.1,6.05
1522.6,130.5,6.1
1603.6,132.8,6.05
1668.1,135.3,6.05
1707.7,137.3,6.1
1730.8,139.5,6.1
1791.8,142.2,6.15
1827.4,144.8,6.2
1888.6,147.5,6.2
1930.2,149.9,6.25
1966.5,152.2,6.35
2002.6,154.7,6.4
2067.9,157.5,6.45
2112.5,160.1,6.5
2155.4,163.0,6.6
2196.5,165.5,6.7
2271.1,168.1,6.8
2308.4,170.8,6.9
2344.3,173.3,6.95
2426.9,176.2,7.05
2492.5,178.9,7.15
2508.2,181.5,7.25
2598.8,184.1,7.35
2630.8,186.8,7.35
2672.7,189.5,7.45
2741.4,192.2,7.55
2777.0,194.9,7.65
2833.4,197.6,7.7
2872.3,200.4,7.8
2931.2,203.5,7.9
2987.0,206.2,8.0
3074.1,209.0,8.15
3137.9,211.6,8.25
3178.9,214.3,8.4
3231.9,217.1,8.55
3288.2,219.8,8.65
3324.3,222.7,8.8
3383.3,225.6,8.95
3450.1,228.3,9.05
3500.4,231.3,9.2
3599.6,233.9,9.35
3638.4,236.8,9.45
3724.1,239.6,9.55
3787.8,242.5,9.7
3834.1,245.2,9.75
3880.8,248.3,9.95
3943.2,251.5,10.05
3999.2,254.4,10.2
4042.2,257.3,10.3
4096.8,259.9,10.45
4161.7,262.8,10.55
4193.1,265.9,10.7
4305.7,268.8,10.85
4333.9,271.5,11.0
4388.7,274.3,11.2
4464.8,277.3,11.2
4535.9,280.1,11.3
4577.2,282.9,11.45
4663.6,285.8,11.55
4737.4,289.0,11.7
4820.7,292.0,11.8
4886.7,295.1,11.95
4936.7,298.1,12.05
5001.1,301.2,12.15
5080.4,304.0,12.3
5111.2,307.1,12.45
5157.1,310.0,12.6
5263.2,312.9,12.7
5322.0,315.8,12.8
5366.9,318.9,12.9
5424.1,321.9,12.95
5497.7,324.8,13.1
5625.2,327.8,13.15
5692.7,330.8,13.2
5741.9,333.8,13.4
5815.6,336.8,13.45
5877.4,339.8,13.6
5891.0,343.2,13.7
5990.5,346.1,13.9
6023.8,349.1,13.95
6115.2,352.1,14.05
6192.9,355.1,14.15
6238.1,358.0,14.35
6270.1,360.8,14.45
6346.5,363.5,14.7
6416.3,366.7,14.8
6440.3,369.9,14.9
6533.9,373.0,15.1
6578.1,375.7,15.25
6626.6,378.5,15.45
6714.7,381.2,15.7
6768.5,384.4,15.85
6792.2,387.7,15.9
6880.2,390.8,15.95
6932.2,394.0,16.1
7024.9,396.9,16.25
7081.8,399.8,16.45
7158.8,402.8,16.65
7171.5,405.7,16.75
7221.3,408.8,16.95
7265.2,411.7,17.0
7389.0,414.6,17.05
7485.5,417.6,17.15
7506.8,420.3,17.35
7559.8,423.6,17.4
7596.5,426.9,17.4
7648.6,429.8,17.5
7775.7,433.1,17.65
7806.6,436.3,17.85
7862.7,439.5,18.0
7913.3,442.4,18.2
7982.4,444.5,18.35
8089.4,448.3,18.4
8124.1,451.0,18.55
8247.9,454.2,18.55
8290.9,457.0,18.6
8368.2,459.3,18.7
8435.4,462.6,18.8
8450.2,466.4,19.0
8563.3,469.8,19.25
8638.1,472.3,19.25
8694.7,475.4,19.35
8750.0,479.0,19.45
8786.8,482.1,19.5
8859.5,485.5,19.55
8959.0,488.2,19.8
8993.6,491.1,19.85
9116.0,494.4,19.8
9177.5,497.3,20.0
9279.1,499.9,20.15
9327.3,503.1,20.4
9395.8,506.1,20.6
9532.0,509.2,20.75
9591.1,511.9,20.7
9538.8,515.1,20.65
9639.0,518.5,20.7
9666.3,521.6,20.85
9732.3,524.6,20.75
9847.1,527.5,20.6
9921.3,530.3,20.8
9953.6,533.4,21.05
10018.1,536.0,21.3
10066.1,539.1,21.55
10097.5,542.2,21.6
10200.2,544.8,21.6
10183.3,548.4,21.7
10290.9,550.4,21.95
10312.0,552.9,22.15
10373.6,556.4,22.45
10560.0,560.2,22.7
10500.4,563.0,22.95
10511.2,565.7,23.15
10689.1,572.3,23.55
10703.9,575.5,23.5
10786.1,578.7,23.45
10826.0,581.2,23.35
10929.3,584.1,23.35
10946.0,587.2,23.6
11113.4,590.3,23.75
11086.4,593.0,23.95
11179.2,595.5,23.95
11229.0,598.6,23.75
11200.7,602.2,23.6
11321.4,604.7,23.55
11268.0,606.6,23.75
11388.3,610.0,23.95
11501.3,614.0,23.8
11520.5,616.6,23.6
11625.8,619.9,23.4
11714.7,622.0,23.3
11768.5,625.1,23.55
11832.9,628.9,23.6
11846.4,631.2,23.7
11782.4,633.7,23.9
11890.2,636.4,24.05
12014.4,639.8,24.2
11973.7,641.9,24.2
12084.1,644.9,24.25
12127.0,647.4,24.45
12163.2,650.5,24.7
12281.3,652.7,24.9
12333.7,656.0,25.25
12327.1,658.5,25.35
12359.7,661.9,25.55
12405.2,663.2,25.5
12443.2,666.5,25.5
12482.5,670.7,25.4
12578.6,673.0,25.35
12648.7,676.5,25.45
12776.0,679.3,25.3
12841.9,683.4,25.4
12927.8,686.2,25.6
12865.2,689.6,25.55
12944.7,692.5,25.7
13033.4,694.7,25.85
13100.5,697.7,26.05
13101.1,701.3,26.2
13171.3,703.8,26.5
13128.7,706.7,26.9
13247.6,710.5,27.0
13335.4,717.7,26.9
13489.4,723.8,27.05
13609.9,727.0,27.05
13605.1,730.5,26.9
13742.6,732.4,26.95
13652.2,731.5,27.15
13742.6,733.1,27.15
13798.1,739.0,27.15
13926.0,746.9,27.25
14162.3,757.9,27.15
14261.4,763.2,27.1
14509.9,712.2,27.1
14356.9,759.3,27.25
14526.7,776.8,27.65
14532.0,774.1,27.95
14673.2,786.0,28.05
13824.3,770.1,28.25
14965.3,755.3,28.25
12236.6,450.7,27.5
2747.5,385.4,26.45
4244.0,647.1,26.15
15392.9,809.7,26.4
15197.3,672.8,26.6
2642.9,222.7,25.65
15319.4,801.0,25.65
15276.5,804.8,25.9
15018.9,792.2,26.4
14790.6,788.2,27.05
14798.7,642.6,27.3
14601.2,742.6,27.15
15702.7,826.8,27.65
15507.4,825.4,28.05
15517.8,817.1,28.4
15218.5,819.9,29.15
15247.5,817.7,29.85
15289.6,818.2,30.35
15021.6,799.3,30.6
14573.4,777.5,30.7
14207.7,764.9,30.65
14462.7,779.4,30.5
4041.1,360.2,29.5
14938.4,794.3,29.2
14669.4,790.4,29.5
15310.6,785.4,29.65
16079.9,811.9,29.65
16046.3,858.1,30.2
4464.8,415.3,30.05
15909.5,670.6,29.7
5838.6,460.1,29.45
14717.0,678.8,29.3
5001.1,482.1,28.5
16947.8,539.5,28.3
4305.7,416.1,27.1
13862.0,450.9,26.55
3166.4,448.2,25.5
16250.6,860.1,25.85
16584.3,875.9,26.35
17073.4,900.0,27.3
17646.4,857.2,28.15
6427.9,546.9,27.95
5660.7,474.6,27.35
15571.9,531.3,27.05
12370.3,328.9,26.0
4212.0,358.2,25.15
4969.1,265.6,24.15
5364.8,626.5,23.75
17796.6,762.3,24.65
4905.0,286.9,24.3
4737.4,259.3,23.7
3207.3,197.1,22.85
3340.3,625.5,22.55
16734.2,868.5,23.6
16975.1,902.3,24.8
17902.2,939.8,26.05
18107.8,968.1,27.35
18521.0,985.8,28.75
12251.2,910.4,29.95
18540.9,991.8,31.15
18654.5,1002.0,31.8
9371.9,970.1,32.35
19173.8,804.1,32.65
4787.5,432.5,31.15
19635.6,1030.9,31.4
19952.3,1066.6,32.05
20083.9,1090.1,33.2
12994.6,925.6,34.2
6044.7,535.4,33.75
20218.8,997.5,33.95
20103.8,1090.2,34.25
6627.2,707.7,33.95
20043.3,1019.7,33.7
12843.1,600.4,33.95
5682.1,312.8,32.65
5384.0,295.1,30.85
5096.6,283.9,29.0
5205.6,284.6,27.35
5096.6,277.7,26.15
4984.6,275.8,25.05
6794.6,523.3,24.5
10575.2,664.3,24.6
4397.9,250.6,24.45
4109.3,239.3,23.6
4798.0,570.6,23.15
18404.1,600.9,23.9
5354.0,456.8,23.85
20171.3,689.2,24.75
11498.8,450.6,24.6
4148.3,240.0,23.9
3940.4,232.1,23.05
18945.1,745.9,23.15
6160.3,957.3,24.7
20062.2,991.4,26.45
19720.0,1022.2,28.05
12517.0,634.9,29.05
6147.2,390.9,28.55
19864.3,1030.0,29.1
19245.3,808.7,30.0
6642.1,401.5,29.25
12417.9,851.7,29.05
7464.2,447.4,28.65
16568.5,498.0,27.9
5541.5,299.9,26.95
4361.2,322.5,26.0
16975.9,825.8,25.95
17075.7,885.5,26.7
9703.0,542.1,27.1
7442.2,684.3,27.05
9866.6,730.0,27.45
16774.9,893.1,28.4
17236.7,904.8,29.35
17047.3,904.2,30.35
16346.6,880.8,31.1
15810.2,837.3,31.45
15588.7,826.4,31.6
15401.8,805.8,31.7
14529.5,762.3,31.5
13882.3,737.5,31.5
13639.6,732.5,31.5
13663.2,729.8,31.35
13682.8,690.7,31.0
13481.4,440.8,30.35
12387.9,557.9,29.55
5909.4,335.3,28.65
14576.7,523.7,28.0
6824.2,394.5,27.45
6442.0,585.6,27.2
13992.9,733.0,27.65
14126.2,537.7,27.95
5614.0,314.9,27.45
11848.7,395.2,26.9
11862.4,717.9,26.8
15104.3,699.2,27.1
5861.4,336.9,26.6
9481.1,440.9,26.1
8345.2,575.9,25.6
16902.9,887.7,26.05
18324.4,719.4,26.9
18452.3,922.5,27.55
18871.9,872.0,28.55
12257.2,762.0,29.1
5570.6,305.5,28.5
5532.3,311.8,27.5
5745.9,312.4,26.45
5703.5,309.2,25.65
5812.9,447.6,25.15
14952.7,745.3,25.6
5907.2,317.0,25.25
5402.9,290.2,24.5
5384.0,311.1,23.9
14253.2,543.3,24.1
9208.7,433.9,24.1
5016.9,274.4,23.65
4816.6,265.9,22.85
5911.6,474.9,22.45
12256.3,613.9,22.85
11940.0,594.0,23.2
11667.5,576.6,23.75
5907.2,359.9,24.0
5281.5,309.7,23.8
10921.5,437.6,23.8
5443.6,278.5,23.45
5096.9,270.3,22.95
5252.0,290.2,22.4
8335.5,424.5,22.15
8272.7,411.7,22.05
9209.6,437.8,22.05
5934.6,312.0,21.85
6888.9,355.8,21.55
8923.5,560.5,21.65
11219.7,531.2,22.3
7560.1,381.7,22.35
6728.7,347.3,22.1
6722.6,349.0,21.9
8155.5,469.2,21.95
10824.4,473.4,22.3
8078.4,463.6,22.35
9943.7,504.2,22.6
11895.6,598.3,23.15
12035.1,612.1,23.8
12302.5,620.1,24.45
12716.2,648.3,25.0
12709.8,661.4,25.6
13767.6,705.8,26.2
13548.4,689.1,26.45
13093.2,680.0,26.95
13581.5,688.8,27.45
13451.3,691.7,27.8
13770.5,703.0,28.2
9155.6,481.2,28.1
10249.3,466.3,27.55
7907.7,430.8,27.1
12802.0,654.3,27.05
13096.3,667.9,27.2
12900.8,679.5,27.3
13548.4,706.3,27.8
13914.5,723.5,28.4
14051.1,739.5,28.9
15092.6,795.0,29.2
15598.0,812.3,29.8
16170.3,845.1,30.7
16639.0,867.6,31.4
16792.1,887.9,31.65
17052.0,890.7,31.8
16845.1,869.4,32.35
14546.1,768.3,32.7
14054.0,750.9,32.7
14335.7,752.7,32.7
14506.9,737.9,32.7
15162.7,773.9,32.55
15125.5,759.9,32.6
7677.2,623.1,32.25
6941.2,414.7,31.4
6492.8,352.4,29.8
6642.1,357.2,28.5
6511.5,356.7,27.4
10022.7,484.5,26.85
15020.5,768.3,27.05
14940.3,759.1,27.6
13568.3,673.7,28.1
12246.3,636.3,28.35
12998.1,683.1,28.4
13727.2,707.0,28.4
9412.2,431.0,27.85
6586.9,342.8,26.8
6152.9,321.7,26.0
6146.3,327.7,25.3
7126.6,379.7,24.7
13213.8,589.8,24.7
10583.4,659.7,24.95
15807.4,809.5,25.75
16240.8,825.3,26.7
15560.1,797.4,27.7
14958.1,689.8,28.4
14111.8,661.5,28.75
12885.0,525.0,29.05
7282.8,456.6,28.45
9587.5,470.4,28.15
5914.1,312.7,27.4
5488.1,296.0,26.4
5573.5,299.5,25.7
5888.9,331.8,25.1
7761.8,399.3,24.7
8248.1,428.8,24.55
8575.8,443.4,24.45
